period,event_type,mention_count,descriptions
童年,偷钱受罚,1,小时候因偷钱被母亲精准抓包并打骂认错
童年,父亲速应,1,母亲喊父亲名字后，父亲总能在 20 秒内出现协助管教
童年,嘴甜夸人,1,小时候通过见人就夸、高情商回应亲戚逗趣而被评价为懂事
童年,表面顺从实则叛逆,1,从小想干嘛就干嘛，对父母禁令偷偷违反且屡教不改
童年,情感表达,1,通过口头表达爱戴母亲和夸赞他人来维持懂事的形象
童年,饭桌机智回应,1,在父亲教育时巧妙用“有爸妈是天上掉馅饼”化解说教并逗乐父亲
童年,听闻经济寒冬论,1,小时候天天听周围人说经济寒冬要来了或全球经济遇冷
童年,怼司机事件,1,小时候在车上逮着父亲的司机一路怼
童年,模特圈成长环境,1,母亲是模特且其朋友热衷搞娃娃亲，导致作者误以为注定只能娶模特
童年,模特班同学关系,1,母亲朋友的女儿与作者在同一个模特班学习
童年,阅读困惑,1,小时候看小说时无法理解“嫁出去就不能随便回娘家”的说法
童年,观察现象,1,发现学校里的同学几乎每周都会去外婆家
童年,家庭管教,1,母亲从小禁止作者骂脏话
童年,成长环境,1,作者住在老闸北旁边的静安区，接触小流氓腔调
童年,身高自卑期,1,因身高一米九被嘲笑像大猩猩或奥特曼，羡慕清秀白净的男生
童年,被迫精致打扮,1,母亲作为专业模特强迫作者进行繁琐的穿衣、试衣、做头发及护肤流程
童年,男性化妆护肤,1,10 岁时被母亲教导化妆、保养皮肤及每日早起半小时打理仪容
童年,被父亲带看特摄与动画,1,三岁起由父亲抱着观看假面骑士和飞跃巅峰
童年,目睹父亲深夜看番,1,半夜发现父亲在书房含泪观看高达默示录 0079 最后一话
童年,思想灌输,1,从小被灌输正视性欲但不轻易释放能让人变强的奇怪思想
童年,科幻认知偏差,1,受电影和漫画影响误以为液压、马达及活体组织即可制作机械改造人
童年,实验条件缺失,1,庆幸当时缺乏进行人体改造实验的实际条件
童年,观看高达光碟,1,5 岁时父亲在家抱着自己观看 0083 剧场版光碟
童年,观看 EVA 被吓哭,1,2 岁时观看 EVA 旧剧场版被吓哭（据父亲回忆）
童年,首次暴力冲突,1,第一次打架直接攻击对方头部致其受伤，由父亲赔偿
童年,转移攻击对象,1,因人类头部太软，转而与狗打架
童年,容貌焦虑,1,小时候因长相与性别不符而讨厌自己的脸
童年,缺乏后果意识,1,从未考虑过激行为可能导致对方精神崩溃或暴力反击
童年,老楼居住体验,1,在外滩和淮海路的老楼房里活动
童年,成长背景,1,从小不缺爱，但患有严重的渴肤症和口欲症
童年,职场受挫被包容,1,前老板在我搞砸事情或闹情绪时，总能用“没关系”安抚并帮我摆平。
童年,模仿影视角色,1,"因崇拜高服从性角色而常对父亲说""sir, yes sir"""
童年,社会观念认知,1,认为当时吹嘘男性比女性强是一种懦弱的表现
童年,压岁钱被骗,1,五岁时被父亲用斗地主骗走一年的压岁钱
童年,年龄对比状态,1,曾经比 coser 姐姐小三岁，现在比现任 CP 大近十岁
童年,心理阴影,1,小时候对胖虎这个角色产生了心理阴影
童年,收藏童年未购模型,1,阁楼里存放着作者童年想买但买不起的各式老版机器人模型
小学,童年对等恋爱,1,在小学阶段与异性进行无性别压迫、纯粹且激烈的恋爱互动
小学,童年情感互动,1,作者小学时坐在对方腿上摇晃却未产生反应
小学,社交隔离,1,因不被男生接纳而被迫融入女生群体
小学,获赠高达模型,1,姐姐送给作者一盒 HG 佐罗亚特模型
初中,拒绝挑染,1,母亲曾提议给作者挑染头发，被作者强烈拒绝
初中,结识发小,1,作者与发小在初中时期相识
初中,被女生评价外貌,1,被班里女生评价像樱木花道，表示不是她们喜欢的类型
初中,因身高自卑,1,因身高问题长期自卑，羡慕身高较矮的男生
初中,质疑体育生受欢迎度,1,因时代审美偏好病弱美少年，一度不相信体育生会受女生欢迎
初中,代管零花钱,1,替十五岁的大小姐保管并代付现金消费
初中,陪伴朋友首次出 Cos,1,作者陪同 14 岁的朋友第一次以 Saber 角色参加漫展
初中,青春期恋爱转变,1,进入初中后意识到恋爱中需保留自我安危，不再无条件付出
初中,异性社交困扰,1,作者成年前几乎一直被初中女生纠缠
初中,自我认知偏差,1,作者误以为自己是不治的萝莉控并向学妹忏悔
初中,停止肢体冲突,1,身高长到 188 后因无敌手而不再打架
初中,损友交往,1,与一位嘴臭女生在周五放学后相约压马路、聊天打闹
初中,外滩互动,1,在外滩栏杆上背靠聊天，被对方调侃是二次元处男
初中,初吻经历,1,在对方挑衅下于外滩栏杆上完成笨拙的初吻并互相调情
初中,背负同行,1,接吻后对方以腿软为由要求背其回家
初中,街头斗殴,1,时常参与街头打架
初中,被动气场觉醒,1,摆脱童贞后习得让他人望而却步的被动技能
初中,迪士尼旅行邀约,1,作者因嫌贵拒绝初中毕业旅行，后得知对方用父亲信用卡支付且需陪同才同意前往
初中,蹭住万豪酒店,1,作者本欲回家，被对方强行安排入住万豪酒店并享用大餐
初中,迪士尼游玩经历,1,作者试图规划路线却因对方购买导览服务而沦为拎包助手，见识了隐藏通道与 VIP 特权
初中,购物与报销,1,作者目睹对方在迪士尼大量购物，最终对方父亲报销近六万元并额外给作者 2000 元补贴
初中,早恋受罚,1,前女友因早恋被父亲毒打致伤，却拒绝出卖我
初中,身高虚报,1,裸高 190 厘米却对外谎称 187 厘米以免吓到他人
初中,初恋交往,1,作者曾与一位身材极瘦小的学妹交往
初中,外貌自卑期,1,因身材高大且肤色黑而自认是傻大个
初中,身高过高引发社交压力,1,初三身高已达 188cm，导致女生因感到压迫感而不敢与其正常交流
初中,两次短暂且失败的恋情,1,初中时经历两段当天开始次日或一次约会后便因身高问题被女生主动分手的恋情
初中,对外貌的自卑与幻想,1,初中时期因皮肤黑且高大，内心渴望自己变成一米七的斯文白净男生
高中,恋爱互动,2,前女友喜欢听作者用带粗口的上海话讲地狱笑话 / 暑假和周末与女友频繁约会及互动
高中,恋爱经历,2,作者曾有一位体育生身份的前女友 / 作者曾有一位皮肤较黑的前女友
高中,饭量惊人打赌,1,作者高中时午饭能吃一斤面，常以此作为打赌的资本。
高中,拼凑三人份午餐,1,作者午餐通常吃掉自己、同桌和学习委员三人份的饭菜。
高中,无肉不欢狂饮牛奶,1,作者高中时不挑食，大量吃肉并将牛奶当水喝。
高中,重油早餐充饥,1,作者为支撑训练，早上五点吃重油蛋炒饭加猪排。
高中,运动性暴食,1,作者一旦开始运动就会不停地吃东西。
高中,"绰号""ZZ 高达”",1,"因食量巨大，作者被田径队队友戏称为""ZZ 高达”。"
高中,偷吃女友双份零食,1,作者常偷吃集训女友的零食，迫使对方携带双份。
高中,身高最高但非壮硕,1,作者虽是全校最高，但体型远不如班级里 200 斤的壮汉。
高中,初恋交往,1,与第一位“变态淑女”短暂交往并共同进行翻墙、偷进教室等疯狂行为后分手
高中,穿着校服经历,1,作者高中校服包含白衬衫，搭配黑色百褶裙时呈现出真实的小女人味与青春感。
高中,校园情感体验,1,作者认为高中时期谈恋爱是一件特别美好的事。
高中,经济窘迫,1,作者作为高中生因贫穷而感到自卑或面临经济差距带来的压力
高中,女友家浴室意外,1,高中暑假在女友家洗澡时因误入监控范围引发恐慌，最终格式化监控并隐瞒父母。
高中,关注点的转移,1,开始从单纯迷恋肉体转向关心人类灵魂是否有趣
高中,角色扮演,1,朋友喜欢作者用特定声线叫她“小碧池”和“小妓女”
高中,行为表演,1,作者模仿礼貌拒绝推销者以让朋友感到安心
高中,亲密试探,1,作者在私密环境下掐脖子、甩耳光等，但刻意控制力度
高中,共同活动,1,作者陪前女友一起完成作业而非撕毁
