title,location,created,upvote_num,comment_num,word_count,file_name
170+的女生真的不如160的女生受欢迎吗？,浙江,2025-10-17 22:26,13,0,105,170+的女生真的不如160的女生受欢迎吗？_美味小土豆_2025-10-17_1962645752246411424.md
170的帅男和185的丑男，要怎么选？,浙江,2025-08-17 19:35,2,1,57,170的帅男和185的丑男，要怎么选？_美味小土豆_2025-08-17_1940496924634519005.md
180男生更喜欢抱170cm重63kg的女生还是158cm48kg身材好的女生？,浙江,2025-08-13 07:55,13,1,52,180男生更喜欢抱170cm重63kg的女生还是158cm48kg身材好的女生？_美味小土豆_2025-08-13_1938871184763647015.md
2024 巴黎奥运会女子 10 米气步枪决赛，黄雨婷 0.1 环之差惜败摘银，如何评价本场比赛？,浙江,2024-07-30 03:54,1,0,103,2024 巴黎奥运会女子 10 米气步枪决赛，黄雨婷 0.1 环之差惜败摘银，如何评价本场比赛？_美味小土豆_2024-07-30_3577758137.md
2024 巴黎奥运会竞技体操男子团体决赛，苏炜德致命失误葬送好局，中国队遗憾摘银，如何评价本场比赛？,浙江,2024-07-30 03:48,0,0,42,2024 巴黎奥运会竞技体操男子团体决赛，苏炜德致命失误葬送好局，中国队遗憾摘银，如何评价本场比赛？_美味小土豆_2024-07-30_3577757121.md
2024巴黎奥运会上中国队有哪些意外的收获？,浙江,2024-08-11 13:51,11,2,81,2024巴黎奥运会上中国队有哪些意外的收获？_美味小土豆_2024-08-11_3590900886.md
20多30岁的人跟17岁的女孩子谈恋爱是缺德的吗?,浙江,2025-09-10 16:10,17,2,199,20多30岁的人跟17岁的女孩子谈恋爱是缺德的吗__美味小土豆_2025-09-10_1949142726655345776.md
21岁很饥渴，想pc了，可是很纠结，有没有什么建议？,浙江,2025-09-28 16:26,12,16,120,21岁很饥渴，想pc了，可是很纠结，有没有什么建议？_美味小土豆_2025-09-28_1955669667344545161.md
24岁了，存款只有六十多万，是不是这辈子完了？？？,上海,2026-02-19 08:41,17,0,19,24岁了，存款只有六十多万，是不是这辈子完了？？？_美味小土豆_2026-02-19_2007736638336426505.md
29岁大龄剩女未结婚，真的嫁不出去了么？,浙江,2026-03-15 12:19,20,0,37,29岁大龄剩女未结婚，真的嫁不出去了么？_美味小土豆_2026-03-15_2016488666319565404.md
31岁高收入大龄女和22岁女，你会选择娶哪个？,浙江,2025-08-06 13:02,1,0,70,31岁高收入大龄女和22岁女，你会选择娶哪个？_美味小土豆_2025-08-06_1936411720626214648.md
35岁的男人跟20岁的女孩谈恋爱算道德败坏吗？,浙江,2025-12-24 09:56,10,2,47,35岁的男人跟20岁的女孩谈恋爱算道德败坏吗？_美味小土豆_2025-12-24_1987099315076871316.md
3D打印出来的零件结实耐用不？,浙江,2024-07-11 13:18,0,0,29,3D打印出来的零件结实耐用不？_美味小土豆_2024-07-11_3558509467.md
3D打印可以给普通人提供怎样的便利，或者说真的提供便利了吗？,浙江,2024-07-11 07:07,3,4,322,3D打印可以给普通人提供怎样的便利，或者说真的提供便利了吗？_美味小土豆_2024-07-11_3558119381.md
3D打印怎么了，为什么短短两年就销声匿迹了，说好的产业革命呢？,浙江,2024-07-11 05:38,4,0,120,3D打印怎么了，为什么短短两年就销声匿迹了，说好的产业革命呢？_美味小土豆_2024-07-11_3558096546.md
40多岁“老光棍”突然发了一笔横财，还有机会娶上18岁的“黄花闺女”吗？,浙江,2025-10-03 12:19,6,1,101,40多岁“老光棍”突然发了一笔横财，还有机会娶上18岁的“黄花闺女”吗？_美味小土豆_2025-10-03_1957419589131548311.md
40岁了还在挤地铁上下班，真的丢人吗？,浙江,2024-08-19 00:10,1,0,44,40岁了还在挤地铁上下班，真的丢人吗？_美味小土豆_2024-08-19_3598719406.md
80年代的国营饭店“绝不无故殴打顾客”是否属实？,浙江,2025-12-01 19:20,1287,22,45,80年代的国营饭店“绝不无故殴打顾客”是否属实？_美味小土豆_2025-12-01_1978906231839168308.md
8岁儿子偷拿10块钱，让他罚跪，全家人向我开炮，我做错了吗？,浙江,2024-08-25 14:37,7,0,283,8岁儿子偷拿10块钱，让他罚跪，全家人向我开炮，我做错了吗？_美味小土豆_2024-08-25_3605502488.md
ACGN作品中的女仆为什么常常被设定成有战斗能力?,浙江,2026-02-26 21:14,36,3,429,ACGN作品中的女仆为什么常常被设定成有战斗能力__美味小土豆_2026-02-26_2010462669371614321.md
ACG作品中的“夏日祭”“浴衣”“花火”为什么美好？是一种什么样的美学体验？在国内怎么获得相似体验？,浙江,2025-09-10 13:58,772,81,143,ACG作品中的“夏日祭”“浴衣”“花火”为什么美好？是一种什么样的美学体验？在国内怎么获得相似体验？_美味小土豆_2025-09-10_1949109505423041478.md
AI 作画是否可能或已经摧毁了色情漫画行业?,上海,2025-10-03 14:39,8,3,33,AI 作画是否可能或已经摧毁了色情漫画行业__美味小土豆_2025-10-03_1957454639327872326.md
ai绘画出来好几个月了，有画师因此失业或少了单子吗？相关行业有感受到带来的所谓冲击吗？,浙江,2024-07-14 21:58,5,1,18,ai绘画出来好几个月了，有画师因此失业或少了单子吗？相关行业有感受到带来的所谓冲击吗？_美味小土豆_2024-07-14_3561898336.md
Ai绘画到目前依然非常严重的训练库侵权问题为何无人在乎，人类画师真的不配拥有任何著作权就应该挨骂吗？,浙江,2025-09-06 00:48,2,0,48,Ai绘画到目前依然非常严重的训练库侵权问题为何无人在乎，人类画师真的不配拥有任何著作权就应该挨骂吗？_美味小土豆_2025-09-06_1947461197822669345.md
ai绘画已经这么发达了，我放弃画画是不是正确的选择?,浙江,2024-07-14 19:48,1,0,45,ai绘画已经这么发达了，我放弃画画是不是正确的选择__美味小土豆_2024-07-14_3561795962.md
chatGPT 会带来失业潮吗？,浙江,2024-07-12 07:05,1,0,263,chatGPT 会带来失业潮吗？_美味小土豆_2024-07-12_3559200912.md
cosplay是不是一项烧钱的活动？,浙江,2025-08-12 13:26,0,0,57,cosplay是不是一项烧钱的活动？_美味小土豆_2025-08-12_1938592087860810485.md
cos约妆在外面要怎么办?,浙江,2025-10-02 10:29,5,0,81,cos约妆在外面要怎么办__美味小土豆_2025-10-02_1957029469060571208.md
DeepSeek从年初的“国运级”到现在的热度减退，到底哪里出问题了？,浙江,2025-08-11 06:08,57,4,146,DeepSeek从年初的“国运级”到现在的热度减退，到底哪里出问题了？_美味小土豆_2025-08-11_1938119460855711038.md
DeepSeek会不会写小说?,浙江,2025-03-06 19:58,4,0,1934,DeepSeek会不会写小说__美味小土豆_2025-03-06_118069517542.md
NTR作品中真的可以代入女主或者苦主获得快感吗？,浙江,2025-10-19 13:42,51,12,318,NTR作品中真的可以代入女主或者苦主获得快感吗？_美味小土豆_2025-10-19_1963238464427374383.md
xhs看到的帖子，公司流动资产九位数、a10独生普男配不上家资千万985独生院花或女方资产十位数吗？,浙江,2025-12-09 17:59,708,90,1477,xhs看到的帖子，公司流动资产九位数、a10独生普男配不上家资千万985独生院花或女方资产十位数吗？_美味小土豆_2025-12-09_1981784917844185661.md
“一件事重复主动做一亿次，就可以成为这方面的专家。”这句话一定是对的吗？,浙江,2024-07-01 18:16,5,0,63,“一件事重复主动做一亿次，就可以成为这方面的专家。”这句话一定是对的吗？_美味小土豆_2024-07-01_3548160196.md
“一夫一妻制保护了穷男的利益”这个说法逻辑上是否有缺陷？,浙江,2026-03-19 14:14,38,1,303,“一夫一妻制保护了穷男的利益”这个说法逻辑上是否有缺陷？_美味小土豆_2026-03-19_2017967088476644232.md
“不要彩礼大概率不幸，要了彩礼，即使不幸福我还有钱”这种观点你是否认同？,浙江,2025-12-28 09:41,8,0,37,“不要彩礼大概率不幸，要了彩礼，即使不幸福我还有钱”这种观点你是否认同？_美味小土豆_2025-12-28_1988545140508366645.md
“军迷”到底是一类什么样的人，好不好相处？,浙江,2025-10-03 08:36,6,1,85,“军迷”到底是一类什么样的人，好不好相处？_美味小土豆_2025-10-03_1957363434027974850.md
“动画是给小孩子看的”是中国动画产业没落的底层逻辑吗？,浙江,2024-07-19 17:31,5,0,326,“动画是给小孩子看的”是中国动画产业没落的底层逻辑吗？_美味小土豆_2024-07-19_3567103064.md
“吃喝嫖赌”这个词，明明“吃喝”是人类正常的生活需求，可是为什么和“嫖赌”两个堕落的恶习相提并论呢？,浙江,2025-10-18 13:49,52,3,908,“吃喝嫖赌”这个词，明明“吃喝”是人类正常的生活需求，可是为什么和“嫖赌”两个堕落的恶习相提并论呢？_美味小土豆_2025-10-18_1962877888853419131.md
“失足”工作习惯了的女人还能从良吗?,浙江,2025-09-24 15:20,4549,811,796,“失足”工作习惯了的女人还能从良吗__美味小土豆_2025-09-24_1954203546674246639.md
“女士优先”“打架不打女生”到底有没有歧视女性的含义然后人们墨守成规呢？求解答?,浙江,2026-03-28 07:45,8,2,276,“女士优先”“打架不打女生”到底有没有歧视女性的含义然后人们墨守成规呢？求解答__美味小土豆_2026-03-28_2021130686455621323.md
“女子的贞洁从不在罗裙之下”这句话怎么去理解？,浙江,2024-08-14 20:26,11,0,129,“女子的贞洁从不在罗裙之下”这句话怎么去理解？_美味小土豆_2024-08-14_3594535483.md
“如果允许多妾制，女性宁愿去当富贵人家的第1001房小妾，也不跟你结婚”，如何看待这种观点？,上海,2026-03-10 09:18,22,0,134,“如果允许多妾制，女性宁愿去当富贵人家的第1001房小妾，也不跟你结婚”，如何看待这种观点？_美味小土豆_2026-03-10_2014631147896861610.md
“小黄毛”群体真能与清北这类顶尖院校的女生产生交集吗？为何总有人吹捧“乖乖女会被小黄毛吸引”？,浙江,2025-11-22 20:03,168,23,264,“小黄毛”群体真能与清北这类顶尖院校的女生产生交集吗？为何总有人吹捧“乖乖女会被小黄毛吸引”？_美味小土豆_2025-11-22_1975655512747037354.md
“崩老头”你们怎么看？,浙江,2025-11-24 17:37,100,7,71,“崩老头”你们怎么看？_美味小土豆_2025-11-24_1976343758686664153.md
“很具性张力”的长相是什么样？,浙江,2025-08-10 04:13,0,0,11,“很具性张力”的长相是什么样？_美味小土豆_2025-08-10_1937728297669735695.md
“性同意权”是女人的特权吗？,浙江,2025-12-26 12:09,9,7,25,“性同意权”是女人的特权吗？_美味小土豆_2025-12-26_1987857620770501124.md
“江浙沪独生子”为什么没有“江浙沪独生女”受欢迎？,浙江,2025-08-15 15:51,1,0,18,“江浙沪独生子”为什么没有“江浙沪独生女”受欢迎？_美味小土豆_2025-08-15_1939715863730167926.md
“活在自己的世界”里难道不是优点吗？这代表专注，不受外界打扰。为什么总被批评？这是PUA吗？,浙江,2024-08-16 21:18,14,2,1381,“活在自己的世界”里难道不是优点吗？这代表专注，不受外界打扰。为什么总被批评？这是PUA吗？_美味小土豆_2024-08-16_3596784779.md
“男性去责任化”是好还是不好？,浙江,2026-03-08 18:59,257,9,113,“男性去责任化”是好还是不好？_美味小土豆_2026-03-08_2014052575272518951.md
“花生米和豆干同嚼有火腿的味道”，有哪些简单的食材奇怪的组合后能产生高级的味道？,浙江,2026-01-01 16:41,7,2,33,“花生米和豆干同嚼有火腿的味道”，有哪些简单的食材奇怪的组合后能产生高级的味道？_美味小土豆_2026-01-01_1990100302473478365.md
