标题,发布/编辑时间,赞同数,内容摘要,链接
如何看待2024年2月23日湖南省人民医院研三专硕研究生留下遗书后自刎身亡？,未知,0,温柔之人的最悲哀之处在于，他们不忍心伤害任何人，甚至不忍心伤害那些曾伤害过自己的人，最后只能把刀指向自己。 她早已崩溃， 但她冷静地没在患者面前爆发，把刀指向患者—— 因为她知道患者也是无辜的，他们只是想看病； 她也没有把刀指向压榨她的人——因为这么做会误伤到她的带教老师，那个为数不多的关心她的人。 温柔的女生，环顾一圈后，发现…,https://www.zhihu.com/question/646920542/answer/3418149368
我还需要找她做心理咨询吗？,未知,0,题主未必需要一位心理咨询师，不过很显然，他的咨询师需要一位督导。 （如果题主的描述是客观现实，而不是题主在轻躁状态下的认知失调） 他们之间的对话过于暧昧，失去了咨访关系本该有的距离感， 比如你在大学校园里散步时，听到一对年轻男女发生如下对话： 男生：“这是我们最后一次见面了，以后我不会来找你了。” 女生听到男生的话，表现得很紧张…,https://www.zhihu.com/question/640658780/answer/3381357631
你有哪些亲身经历过的最诡异的事情？,未知,0,说来有趣。 我的外公一直住在乡下老宅里，生活平静。 但从去年前起，老宅里有个房间就时不时出现怪事， 最先遭殃的是外公家的狗子。 大狗很乖，从来不乱吼乱叫，但不知从哪天开始，它每次经过那个房间时都会对着空无一物…,https://www.zhihu.com/question/282457664/answer/3341709789
一个人长期独处心理会怎么样？,未知,0,不致命，就是会让人越来越容易“尬住”。 众所周知，心理治疗里有一种叫做“暴露疗法”的常用治疗方法， 简单而言就是直面恐惧——你害怕什么，我们就强制你去面对什么。比如你社恐，我们会就分强度等级地让你接触、融…,https://www.zhihu.com/question/559699801/answer/3339238722
男朋友因为打游戏骗我去睡觉被我识破，然后我提了分手，他同意了，问问男孩子们他怎么想的？,未知,0,很经典的情感案例。 题主一类的女生可能没有意识到一点： “分手”是一个相互的过程，当女方与男方分手时，男方其实也就被动和女方分手了， 不存在女方已经分手、男方还是女方男朋友的这种扭曲关系， 所以，如果两个人是真心相爱的话，“分手”这件事就是一把双刃剑， 这把双刃剑可以让男方痛哭流涕，甚至愿意放弃尊严求女方不要离开，也能让女方连续…,https://www.zhihu.com/question/467274543/answer/3318316852
有人敲门，开水开了，电话响了，孩子哭了，你先顾谁？,未知,0,上策：将时间轴有重合 但占用功能不重合的任务进行同步推进。 抱着孩子去关火，路上顺便向门的方向大喊一声“请稍等一下，我马上就来！” 然后用脖子夹着电话去开门。 中策：根据轻重缓急，有选择性地放弃部分任务。 先关火，避免火被浇灭后的煤气泄漏， 然后去看看孩子，看看是需要换尿布还是受伤了。 门外的客人先晾着，毕竟有要事找你的话，他一…,https://www.zhihu.com/question/463695772/answer/3307796449
心理咨询是服务有钱人的吗?,未知,0,别纠结了，你的直觉是对的。 这个问题下，很多从业者其实已经指出原因了，不过由于用词比较委婉，很多人没能看懂， 所以我干脆直接明说了： 目前的心理咨询行业，无限接近于传销。 在开始讲我的个人观点前，我想请大家思…,https://www.zhihu.com/question/603180205/answer/3298444554
为什么曾奇峰说，心理咨询就是让来访者找个合适的理由骗自己?,未知,0,读研时，我穷困潦倒，只能与别人合租， 室友是个女生，长相可爱， 和她混熟后，她经常抱怨原生家庭的影响，抱怨的频率之高、范围之广，经常让我大开眼界， 她让我第一次意识到，原来原生家庭的负面影响居然可以如此夸张…,https://www.zhihu.com/question/622004025/answer/3287266571
父母有点不懂社会黑暗，还有点圣母·善良·慈悲为怀·妇人之仁·道德，怎么办？,未知,0,永远记住一件事： 不要在具体的事上接受具体的指导。 生活很奇妙，有些试图指导你的人其实不仅没有能力指导你，也本该没有资格来指导你，但他们可以因为早出生几年就对你的整个人生规划指手画脚， 比如填高考志愿，很多人并没有读过大学，也不了解各个行业的真实情况，但他们可以很自然地建议你去学医、学法、考军校、公务员、当老师， 如果你问他们…,https://www.zhihu.com/question/525345637/answer/3280222528
如何比较“希望之花”、“无头学姐”和“2.5条悟”的炸裂程度？,未知,0,无头学姐： 诸葛丞相与司马懿进行了一系列明争暗斗，双方棋逢对手、互有胜负。 不过丞相时运不济，上方谷一场大雨浇灭了最后的一丝胜算，丞相死前感叹：“悠悠苍天，何薄于我？” 这种死亡结局从剧情和逻辑上都不存在问…,https://www.zhihu.com/question/624738910/answer/3278712222
社会上对「愚蠢」的容忍度越来越低了吗？你有「厌蠢症」吗？,未知,0,大三时，我所在的专业有一门机能学实验课程， 内容其实也很简单，无非是对小白鼠、兔子、牛蛙进行最基础的解剖，做一些基础的手术操作。 课程开始前，和我同组的女生们把小兔子像宝宝一样轮流抱在怀里，纷纷伸手摸它的毛，叽叽喳喳地讨论这只兔子有多乖，有多可爱。我也想抱一下这只兔子，也顺便检查一下它的状态，结果伸了半天手硬是没摸着。 过了…,https://www.zhihu.com/question/628786473/answer/3275549338
心理咨询师在倾听的时候睡着了，说明不敬业吗？,未知,0,不用纠结了，这就是咨询事故。 如果题主是和咨询师吵起来、甚至是打起来，我都还认为有解释的余地，(比如我以前就被躁狂相的患者追着打过)。但直接睡着就有点过分了，因为这涉及到最基本的尊重问题。 当然，我们也不能一棒子打死， 在一种特殊情况下，咨询师“睡着”还算是合理的——来访者阻抗过于强烈，强烈到不回答咨询师任何问题，甚至连一句…,https://www.zhihu.com/question/626980931/answer/3266679353
克苏鲁可以被卑微的人类召唤，那人类可以被蚂蚁召唤吗？,未知,0,当然可以。 想象一下，你在某次路过你家门口时，突然发现一群蚂蚁用亮晶晶的粉末画了一个圆形法阵，蚂蚁们还用自己的身体摆出了你名字的笔画， 智力最高的几个蚂蚁甚至还学会了发声，它们集体诵念你的名。 如果这种情况真的发生了，在座有几个人能按捺住自己的好奇心不去看一眼？ 看了十几分钟，好奇心得到满足，也拍了照发朋友圈后，你准备离开了，…,https://www.zhihu.com/question/621853865/answer/3263972389
二次元的「认妈文化」是如何形成的？,未知,0,很有趣的问题。 如果你经常关注国内二次元手游的新闻，你大概率会发现一个很有意思的现象： 任何二次元手游，上至米鹅大厂，下至小作坊，都有一个共同的最大雷点——角色的“单身”属性。 一旦角色拥有异性伴侣，或者哪…,https://www.zhihu.com/question/587339724/answer/3262829327
打孩子的时候孩子说『有种今天把我打死，等我长大了也这么打你』我该如何应对？,未知,0,打孩子的正确流程： 1.告知孩子即将挨打的原因。 在每次准备打孩子时，用逻辑清晰的语句告诉他：因为你做了什么，导致/可能导致什么后果，所以我现在要打你； 2.告诉孩子做好准备。 告诉他：我要准备开始打你了，不过你可以有10分钟时间准备一下。 在这10分钟里，你可以找我谈话，向我解释事情的原委，向我证明你做一些事的合理性， 如果你能…,https://www.zhihu.com/question/622315789/answer/3257597279
（高中生）大家早起都犯困吗？,未知,0,已经有很多知友指出当前教学制度的不合理性，所以我就不再画蛇添足了，毕竟也无力改变现实。 不过，为大家提供一个改善精神状态的方法，帮助大家适应这个长达三年的高压环境，我还是能尽一份力的。 这个方法将围绕咖啡…,https://www.zhihu.com/question/616587881/answer/3251993433
我因家庭等原因精神崩溃辍学多年，徘徊在自尽边缘，如今想通一些后想重新掌控人生，请老师们给些建议，谢谢？,未知,0,你可以做的事有很多，但现在，请好好休息，真正意义地休息，然后我们再来讨论一下你能做些什么。 在很长一段时间里，题主的生活基本只有两个组成元素了：最基础的生理需求，以及无休止的幻想。 幻想确实是一件很美好的事，它天然属于我们，且只属于我们，没有任何人能将它从我们的脑中和心中夺走。 但当幻想结束后，我们发现生活依然是一地鸡毛时，…,https://www.zhihu.com/question/622830374/answer/3242864667
